10032026 10:11:12 [INF]  [Trace:f28891f7f1403c0bf646746edd409079] Get All Products
10032026 10:11:13 [INF]  [Trace:f28891f7f1403c0bf646746edd409079] return 2 Products
10032026 14:35:46 [INF]  [Trace:0ebfeb8b96c54d935bc62cd6ed6871d2] Get All Products
10032026 14:35:46 [INF]  [Trace:4d979e4e7e25666feda31823f5e0a1cb] Get All Products
10032026 14:35:47 [INF]  [Trace:0ebfeb8b96c54d935bc62cd6ed6871d2] return 2 Products
10032026 14:35:47 [INF]  [Trace:4d979e4e7e25666feda31823f5e0a1cb] return 2 Products
10032026 14:37:32 [INF]  [Trace:56f1365862110cc3275544cd1ddcfa85] Delete Product
10032026 14:37:32 [INF]  [Trace:56f1365862110cc3275544cd1ddcfa85] product code: RRRRR-RRRRR-RRRRR-RRRRR-RRRRR-RRRRR
10032026 14:37:33 [INF]  [Trace:56f1365862110cc3275544cd1ddcfa85] 1 Rows Effected;
10032026 14:37:36 [INF]  [Trace:5951296a5f2a7752ff991a5268730f8d] Delete Product
10032026 14:37:36 [INF]  [Trace:5951296a5f2a7752ff991a5268730f8d] product code: RRRRR-RRRRR-RRRRR-RRRRR-RRRRR-RRRRR
10032026 14:37:36 [WRN]  [Trace:5951296a5f2a7752ff991a5268730f8d] Product Not Found.
10032026 14:37:40 [INF]  [Trace:bc9814ae15183bfb12ab144c3de3e367] Get All Products
10032026 14:37:40 [INF]  [Trace:bc9814ae15183bfb12ab144c3de3e367] return 1 Products
10032026 14:37:53 [INF]  [Trace:1e38465d3c2396462c9e1a8ccbe626c2] Get All Products
10032026 14:37:53 [INF]  [Trace:0530d7638ae6060a559e336addbf648d] Get All Products
10032026 14:37:53 [INF]  [Trace:1e38465d3c2396462c9e1a8ccbe626c2] return 1 Products
10032026 14:37:53 [INF]  [Trace:0530d7638ae6060a559e336addbf648d] return 1 Products
10032026 14:38:02 [INF]  [Trace:b8bc4d2b86c244db95640b497fcf50dd] Get All Products
10032026 14:38:02 [INF]  [Trace:a8a741fb9efb5e41190d6097cef18690] Get All Products
10032026 14:38:02 [INF]  [Trace:b8bc4d2b86c244db95640b497fcf50dd] return 1 Products
10032026 14:38:02 [INF]  [Trace:a8a741fb9efb5e41190d6097cef18690] return 1 Products
10032026 14:38:34 [INF]  [Trace:3884f463673b28433c2efb4b3c643b19] Get All Products
